setu,date,home_team,home_victory,home_score,away_team,away_score,home_away,attendance,arena,arena_rate
1,09.20,信州,win,85,広島,77,home,2066,ホワイト,0
1,09.20,広島,lose,77,信州,85,away,2066,ホワイト,0
1,09.21,信州,lose,77,広島,81,home,2206,ホワイト,0
1,09.21,広島,win,81,信州,77,away,2206,ホワイト,0
1,09.21,FE名古屋,win,85,青森,68,home,1943,千種,0
1,09.21,青森,lose,68,FE名古屋,85,away,1943,千種,0
1,09.21,茨城,win,86,福岡,74,home,3515,ADみと,0
1,09.21,福岡,lose,74,茨城,86,away,3515,ADみと,0
1,09.21,群馬,win,81,仙台,79,home,2541,市民前橋,0
1,09.21,仙台,lose,79,群馬,81,away,2541,市民前橋,0
1,09.21,西宮,win,74,奈良,72,home,2192,西宮中央,0
1,09.21,奈良,lose,72,西宮,74,away,2192,西宮中央,0
1,09.21,熊本,lose,74,越谷,82,home,3344,熊本県総,0
1,09.21,越谷,win,82,熊本,74,away,3344,熊本県総,0
1,09.21,山形,lose,90,福島,92,home,1680,山形スポ,0
1,09.21,福島,win,92,山形,90,away,1680,山形スポ,0
1,09.21,香川,lose,77,愛媛,90,home,1388,高松総合,0
1,09.21,愛媛,win,90,香川,77,away,1388,高松総合,0
1,09.21,東京EX,win,82,東京Z,77,home,905,小豆沢,0
1,09.21,東京Z,lose,77,東京EX,82,away,905,小豆沢,0
1,09.22,山形,win,85,福島,73,home,2001,山形スポ,0
1,09.22,福島,lose,73,山形,85,away,2001,山形スポ,0
1,09.22,群馬,win,62,仙台,57,home,1812,市民前橋,0
1,09.22,仙台,lose,57,群馬,62,away,1812,市民前橋,0
1,09.22,香川,win,92,愛媛,64,home,1298,高松総合,0
1,09.22,愛媛,lose,64,香川,92,away,1298,高松総合,0
1,09.22,FE名古屋,lose,74,青森,79,home,2019,千種,0
1,09.22,青森,win,79,FE名古屋,74,away,2019,千種,0
1,09.22,西宮,win,72,奈良,62,home,2075,西宮中央,0
1,09.22,奈良,lose,62,西宮,72,away,2075,西宮中央,0
1,09.22,熊本,win,93,越谷,73,home,3697,熊本県総,0
1,09.22,越谷,lose,73,熊本,93,away,3697,熊本県総,0
1,09.22,東京EX,win,92,東京Z,52,home,836,小豆沢,0
1,09.22,東京Z,lose,52,東京EX,92,away,836,小豆沢,0
1,09.22,茨城,lose,100,福岡,71,home,2884,ADみと,0
1,09.22,福岡,win,71,茨城,100,away,2884,ADみと,0
2,09.27,愛媛,lose,80,西宮,86,home,1969,コミセン,0
2,09.27,西宮,win,86,愛媛,80,away,1969,コミセン,0
2,09.28,越谷,lose,54,信州,74,home,1526,越谷M,0
2,09.28,信州,win,74,越谷,54,away,1526,越谷M,0
2,09.28,愛媛,lose,72,西宮,81,home,1512,コミセン,0
2,09.28,西宮,win,81,愛媛,72,away,1512,コミセン,0
2,09.28,仙台,win,80,茨城,65,home,3104,ゼビオ,0
2,09.28,茨城,lose,65,仙台,80,away,3104,ゼビオ,0
2,09.28,東京Z,lose,65,FE名古屋,85,home,1718,片柳アリ,0
2,09.28,FE名古屋,win,85,東京Z,65,away,1718,片柳アリ,0
2,09.28,青森,lose,91,山形,94,home,1509,カクヒロ,0
2,09.28,山形,win,94,青森,91,away,1509,カクヒロ,0
2,09.28,福島,lose,65,群馬,73,home,2025,郡山総合,0
2,09.28,群馬,win,73,福島,65,away,2025,郡山総合,0
2,09.28,奈良,win,96,香川,86,home,1025,ならアリ,0
2,09.28,香川,lose,86,奈良,96,away,1025,ならアリ,0
2,09.28,広島,lose,101,熊本,51,home,3090,サンプラ,0
2,09.28,熊本,win,51,広島,101,away,3090,サンプラ,0
2,09.28,東京EX,win,81,福岡,74,home,604,小豆沢,0
2,09.28,福岡,lose,74,東京EX,81,away,604,小豆沢,0
2,09.29,仙台,win,76,茨城,67,home,1728,ゼビオ,0
2,09.29,茨城,lose,67,仙台,76,away,1728,ゼビオ,0
2,09.29,福島,lose,65,群馬,70,home,2665,郡山総合,0
2,09.29,群馬,win,70,福島,65,away,2665,郡山総合,0
2,09.29,青森,win,93,山形,75,home,1460,カクヒロ,0
2,09.29,山形,lose,75,青森,93,away,1460,カクヒロ,0
2,09.29,越谷,lose,71,信州,73,home,1241,越谷M,0
2,09.29,信州,win,73,越谷,71,away,1241,越谷M,0
2,09.29,東京EX,win,90,福岡,80,home,701,小豆沢,0
2,09.29,福岡,lose,80,東京EX,90,away,701,小豆沢,0
2,09.29,東京Z,lose,72,FE名古屋,84,home,2015,片柳アリ,0
2,09.29,FE名古屋,win,84,東京Z,72,away,2015,片柳アリ,0
2,09.29,奈良,lose,84,香川,93,home,1057,ならアリ,0
2,09.29,香川,win,93,奈良,84,away,1057,ならアリ,0
2,09.29,広島,win,75,熊本,54,home,4007,サンプラ,0
2,09.29,熊本,lose,54,広島,75,away,4007,サンプラ,0
3,10.04,群馬,lose,70,茨城,71,home,897,市民前橋,0
3,10.04,茨城,win,71,群馬,70,away,897,市民前橋,0
3,10.04,熊本,win,88,FE名古屋,85,home,1433,熊本県総,0
3,10.04,FE名古屋,lose,85,熊本,88,away,1433,熊本県総,0
3,10.05,群馬,win,76,茨城,69,home,975,市民前橋,0
3,10.05,茨城,lose,69,群馬,76,away,975,市民前橋,0
3,10.05,熊本,lose,85,FE名古屋,92,home,2145,熊本県総,0
3,10.05,FE名古屋,win,92,熊本,85,away,2145,熊本県総,0
3,10.05,越谷,lose,79,東京EX,89,home,472,越谷M,0
3,10.05,東京EX,win,89,越谷,79,away,472,越谷M,0
3,10.05,西宮,win,91,青森,72,home,1685,加古川,0
3,10.05,青森,lose,72,西宮,91,away,1685,加古川,0
3,10.05,仙台,win,82,福島,73,home,1882,ゼビオ,0
3,10.05,福島,lose,73,仙台,82,away,1882,ゼビオ,0
3,10.05,山形,lose,85,愛媛,97,home,1373,山形県総,0
3,10.05,愛媛,win,97,山形,85,away,1373,山形県総,0
3,10.05,奈良,lose,62,信州,71,home,829,ならアリ,0
3,10.05,信州,win,71,奈良,62,away,829,ならアリ,0
3,10.05,香川,win,75,東京Z,67,home,804,高松総合,0
3,10.05,東京Z,lose,67,香川,75,away,804,高松総合,0
3,10.05,福岡,lose,77,広島,85,home,1212,照葉積水,0
3,10.05,広島,win,85,福岡,77,away,1212,照葉積水,0
3,10.06,仙台,lose,65,福島,67,home,2131,ゼビオ,0
3,10.06,福島,win,67,仙台,65,away,2131,ゼビオ,0
3,10.06,香川,win,79,東京Z,67,home,708,高松総合,0
3,10.06,東京Z,lose,67,香川,79,away,708,高松総合,0
3,10.06,山形,win,81,愛媛,71,home,1680,山形県総,0
3,10.06,愛媛,lose,71,山形,81,away,1680,山形県総,0
3,10.06,西宮,lose,64,青森,69,home,2033,加古川,0
3,10.06,青森,win,69,西宮,64,away,2033,加古川,0
3,10.06,奈良,lose,72,信州,73,home,1017,ならアリ,0
