setu,date,home_team,home_victory,home_score,away_team,away_score,home_away,attendance,arena
1,10.04,千葉,lose,72,川崎,81,home,5067,船橋
1,10.04,川崎,win,81,千葉,72,away,5067,船橋
1,10.06,秋田,lose,67,琉球,84,home,3873,CNA
1,10.06,琉球,win,84,秋田,67,away,3873,CNA
1,10.06,三遠,win,77,京都,64,home,2146,豊橋
1,10.06,京都,lose,64,三遠,77,away,2146,豊橋
1,10.06,滋賀,lose,73,新潟,78,home,2568,ウカル
1,10.06,新潟,win,78,滋賀,73,away,2568,ウカル
1,10.06,北海道,lose,68,大阪,74,home,4738,北海きた
1,10.06,大阪,win,74,北海道,68,away,4738,北海きた
1,10.06,千葉,lose,66,川崎,68,home,4941,船橋
1,10.06,川崎,win,68,千葉,66,away,4941,船橋
1,10.06,A東京,win,73,SR渋谷,71,home,2787,立川立飛
1,10.06,SR渋谷,lose,71,A東京,73,away,2787,立川立飛
1,10.06,名古屋D,win,80,三河,75,home,3420,ドルアリ
1,10.06,三河,lose,75,名古屋D,80,away,3420,ドルアリ
1,10.06,富山,win,94,横浜,82,home,3903,富山市総
1,10.06,横浜,lose,82,富山,94,away,3903,富山市総
1,10.06,福岡,lose,67,栃木,79,home,3263,福岡市民
1,10.06,栃木,win,79,福岡,67,away,3263,福岡市民
1,10.07,富山,win,101,横浜,77,home,3116,富山市総
1,10.07,横浜,lose,77,富山,101,away,3116,富山市総
1,10.07,北海道,win,70,大阪,53,home,3843,北海きた
1,10.07,大阪,lose,53,北海道,70,away,3843,北海きた
1,10.07,秋田,lose,66,琉球,71,home,3788,CNA
1,10.07,琉球,win,71,秋田,66,away,3788,CNA
1,10.07,三遠,lose,88,京都,93,home,2139,豊橋
1,10.07,京都,win,93,三遠,88,away,2139,豊橋
1,10.07,滋賀,win,75,新潟,71,home,2480,ウカル
1,10.07,新潟,lose,71,滋賀,75,away,2480,ウカル
1,10.07,福岡,lose,73,栃木,82,home,3024,福岡市民
1,10.07,栃木,win,82,福岡,73,away,3024,福岡市民
1,10.07,A東京,win,87,SR渋谷,79,home,3102,立川立飛
1,10.07,SR渋谷,lose,79,A東京,87,away,3102,立川立飛
1,10.07,名古屋D,win,96,三河,93,home,3133,ドルアリ
1,10.07,三河,lose,93,名古屋D,96,away,3133,ドルアリ
2,10.11,新潟,win,84,秋田,74,home,1909,東総合
2,10.11,秋田,lose,74,新潟,84,away,1909,東総合
